attack_name	accuracy	precision	recall	f1	num_samples
deepwordbug	0.8774509803921569	0.8776792894439952	0.8774509803921569	0.8773748703911582	1020
bertattack	0.7968678028558268	0.809850598088994	0.7968678028558268	0.7955028317649048	4342
semantic	0.5135746606334841	0.49062215124444075	0.5135746606334841	0.4107732550220081	2210
textbugger	0.8269854132901134	0.8352309702243637	0.8269854132901134	0.8264009375330172	2468
textfooler	0.671559633027523	0.6784422379484659	0.671559633027523	0.6637769107717157	2725
